TrueDistance,TrueAngle,Distance,Angle
10417.0212,26.0763,10478.5547,22.1563
10415.5889,26.1687,10274.0827,25.871
10414.1825,26.2611,10321.8842,29.3697
10412.8039,26.3535,10383.8879,25.0343
10411.4521,26.4459,10510.768,26.5896
10410.1279,26.5384,10449.4035,25.2664
10408.8306,26.6308,10352.0805,26.9194
10407.5602,26.7234,10439.288,27.1474
10406.3174,26.8159,10439.8513,26.996
10405.1015,26.9084,10380.3375,28.1576
10403.9124,27.001,10378.941,26.3299
10402.751,27.0936,10334.782,23.8146
10401.6164,27.1862,10423.9422,28.1526
10400.5086,27.2788,10378.8096,28.1584
10399.4286,27.3715,10351.1864,27.1011
10398.3763,27.4641,10419.091,28.9175
10397.3508,27.5568,10380.899,26.3991
10396.3512,27.6495,10413.3582,29.0908
10395.3812,27.7423,10339.5393,26.7821
10394.4361,27.835,10394.3047,27.7767
10393.5197,27.9277,10363.2027,30.2075
10392.6301,28.0205,10447.2846,21.3661
10391.7673,28.1133,10494.7498,29.8274
10390.9323,28.2061,10367.96,27.4636
10390.1249,28.2989,10332.6139,27.962
10389.3444,28.3918,10400.6401,31.778
10388.5916,28.4846,10370.1496,25.3934
10387.8656,28.5775,10403.8739,29.459
10387.1673,28.6703,10342.7732,31.0916
10386.495,28.7632,10301.0139,30.2024
10385.8513,28.8561,10299.9043,28.9137
10385.2344,28.949,10469.3583,27.6521
10384.6452,29.0419,10429.8502,31.705
10384.0828,29.1349,10398.2404,26.3595
10383.5481,29.2278,10352.1618,30.0216
10383.0412,29.3208,10330.6371,29.9514
10382.5602,29.4137,10456.5507,29.7239
10382.1078,29.5067,10369.0875,26.9086
10381.6822,29.5996,10355.3545,31.5349
10381.2844,29.6926,10363.8652,29.258
10380.9133,29.7856,10363.7651,29.7662
10380.57,29.8786,10451.9293,29.659
10380.2535,29.9716,10339.4562,29.6226
10379.9647,30.0646,10344.2279,26.6396
10379.7027,30.1576,10344.4245,30.5929
10379.4694,30.2506,10457.0603,31.3779
10379.2629,30.3436,10391.6225,28.6323
10379.0832,30.4367,10403.8614,28.5319
10378.9321,30.5297,10404.0965,28.7433
10378.8069,30.6227,10373.7894,27.5225
10378.7085,30.7157,10326.2883,28.1803
10378.6397,30.8088,10383.769,27.1639
10378.5968,30.9018,10427.8332,27.0021
10378.5825,30.9948,10364.5644,29.9926
10378.5941,31.0879,10361.3234,29.134
10378.6334,31.1809,10448.9306,29.4498
10378.7005,31.2739,10409.486,31.0352
10378.7953,31.367,10436.191,30.7156
10378.916,31.46,10403.7067,32.3774
10379.0653,31.553,10391.1674,32.4869
10379.2414,31.646,10312.7146,32.1128
10379.4453,31.739,10371.6311,33.5218
10379.6759,31.8321,10379.8878,31.0473
10379.9343,31.9251,10293.2507,32.3122
10380.2204,32.0181,10363.1938,31.1909
10380.5333,32.1111,10353.1212,27.9307
10380.874,32.2041,10332.2089,32.7374
10381.2414,32.2971,10307.5853,34.0678
10381.6366,32.39,10383.9219,30.9063
10382.0595,32.483,10314.5644,32.8552
10382.5092,32.576,10401.1139,34.2414
10382.9867,32.6689,10304.4382,30.8791
10383.49,32.7619,10317.9726,33.6639
10384.0229,32.8548,10335.6126,30.6557
10384.5808,32.9477,10325.0742,33.8088
10385.1682,33.0407,10418.7781,31.4218
10385.7815,33.1336,10373.0795,36.092
10386.4226,33.2265,10350.7662,30.3657
10387.0904,33.3193,10342.2707,35.0552
10387.786,33.4122,10458.3451,35.1804
10388.5093,33.5051,10353.7613,33.5513
10389.2595,33.5979,10332.8177,32.7437
10390.0373,33.6908,10324.0728,33.4832
10390.842,33.7836,10401.0335,30.9381
10391.6734,33.8764,10432.4672,34.9124
10392.5335,33.9692,10334.5531,31.8647
10393.4196,34.062,10399.6378,30.7171
10394.3333,34.1547,10420.1335,34.2339
10395.2748,34.2475,10428.282,34.1299
10396.243,34.3402,10373.4371,33.4233
10397.2381,34.4329,10468.3328,35.9566
10398.261,34.5256,10438.2035,34.606
10399.3106,34.6182,10403.0353,34.3663
10400.3879,34.7109,10394.5157,35.3747
10401.4921,34.8035,10406.2566,34.7576
10402.624,34.8961,10476.7612,34.5543
10403.7818,34.9887,10360.2201,33.3093
10404.9674,35.0813,10402.852,36.1273
10406.1806,35.1738,10368.3972,37.5298
10407.4207,35.2664,10381.8968,34.2034
10408.6885,35.3589,10433.4265,33.9998
10409.9822,35.4514,10428.9696,38.7561
10411.3036,35.5438,10474.6574,36.3165
10412.6528,35.6363,10311.006,37.0916
10414.0288,35.7287,10378.7389,38.5588
10415.4307,35.8211,10430.941,33.7541
10416.8612,35.9134,10394.0418,36.2923
10418.3176,36.0058,10422.6395,40.2723
10419.8018,36.0981,10393.5635,36.1294
10421.3127,36.1903,10423.5944,34.8251
10422.8505,36.2826,10419.3252,38.6036
10424.4161,36.3748,10365.4808,33.4072
10426.0075,36.467,10413.1445,34.1523
10427.6267,36.5592,10414.1432,34.207
10429.2727,36.6514,10350.371,35.2662
10430.9455,36.7435,10359.098,41.6985
10432.6451,36.8355,10419.1464,37.4165
10434.3724,36.9276,10442.7713,33.639
10436.1257,37.0196,10422.4589,36.5816
10437.9076,37.1116,10458.8458,36.9547
10439.7145,37.2036,10488.1829,37.6387
10441.5491,37.2955,10426.7773,40.0506
10443.4106,37.3874,10464.6215,39.2281
10445.2989,37.4793,10470.0315,35.6695
10447.2139,37.5711,10558.3692,39.1835
10449.155,37.6629,10527.555,38.8394
10451.1237,37.7547,10430.1909,40.3881
10453.1193,37.8464,10356.0895,41.6348
10455.1417,37.9381,10411.1338,37.3084
10457.1909,38.0297,10456.7465,34.4889
10459.2669,38.1214,10563.1033,37.5964
10461.3689,38.2129,10442.5961,39.3349
10463.4976,38.3045,10464.9398,36.5818
10465.6541,38.396,10455.5914,38.4709
10467.8366,38.4875,10493.1039,41.1373
10470.0458,38.5789,10399.341,39.64
10472.2819,38.6703,10495.3533,40.4656
10474.5448,38.7616,10487.2361,37.2107
10476.8336,38.853,10563.3688,37.436
10479.1492,38.9442,10591.9361,40.9599
10481.4926,39.0355,10400.8529,39.5192
10483.8601,39.1267,10451.6754,41.7571
10486.2562,39.2178,10536.5154,36.9079
10488.6773,39.3089,10573.9304,40.4738
10491.1271,39.4,10520.0467,36.073
10493.6019,39.491,10555.0817,38.6679
10496.1035,39.582,10592.055,38.1401
10498.631,39.6729,10478.6325,34.8127
10501.1854,39.7638,10558.8707,44.638
10503.7656,39.8547,10464.1986,41.2934
10506.3727,39.9455,10536.916,36.8932
10509.0067,40.0362,10458.236,38.5224
10511.6674,40.127,10529.0705,38.7218
